Word,Plural,Initial
time,times,t
way,ways,w
year,years,y
work,works,w
government,governments,g
day,days,d
man,men,m
world,worlds,w
life,lives,l
part,parts,p
house,houses,h
course,courses,c
case,cases,c
system,systems,s
place,places,p
end,ends,e
group,groups,g
company,companies,c
party,parties,p
information,informations,i
school,schools,s
fact,facts,f
money,moneys,m
point,points,p
example,examples,e
state,states,s
business,businesses,b
night,nights,n
area,areas,a
water,waters,w
thing,things,t
family,families,f
head,heads,h
hand,hands,h
order,orders,o
side,sides,s
home,homes,h
development,developments,d
week,weeks,w
power,powers,p
country,countries,c
council,councils,c
use,uses,u
service,services,s
room,rooms,r
market,markets,m
problem,problems,p
court,courts,c
lot,lots,l
war,wars,w
police,polices,p
interest,interests,i
car,cars,c
law,laws,l
road,roads,r
form,forms,f
face,faces,f
education,educations,e
policy,policies,p
research,researches,r
sort,sorts,s
office,offices,o
body,bodies,b
person,persons,p
health,healths,h
mother,mothers,m
question,questions,q
period,periods,p
name,names,n
book,books,b
level,levels,l
child,children,c
control,controls,c
society,societies,s
minister,ministers,m
view,views,v
door,doors,d
line,lines,l
community,communities,c
south,souths,s
city,cities,c
god,gods,g
father,fathers,f
centre,centres,c
effect,effects,e
staff,staffs,s
position,positions,p
kind,kinds,k
job,jobs,j
woman,women,w
action,actions,a
management,managements,m
act,acts,a
process,processes,p
north,norths,n
age,ages,a
evidence,evidences,e
idea,ideas,i
west,wests,w
support,supports,s
moment,moments,m
sense,senses,s
report,reports,r
mind,minds,m
church,churches,c
morning,mornings,m
death,deaths,d
change,changes,c
industry,industries,i
land,lands,l
care,cares,c
century,centuries,c
range,ranges,r
table,tables,t
back,backs,b
trade,trades,t
history,histories,h
study,studies,s
street,streets,s
committee,committees,c
rate,rates,r
word,words,w
food,foods,f
language,languages,l
experience,experiences,e
result,results,r
team,teams,t
other,others,o
sir,sirs,s
section,sections,s
programme,programmes,p
air,airs,a
authority,authorities,a
role,roles,r
reason,reasons,r
price,prices,p
town,towns,t
class,classes,c
nature,natures,n
subject,subjects,s
department,departments,d
union,unions,u
bank,banks,b
member,members,m
value,values,v
need,needs,n
east,easts,e
practice,practices,p
type,types,t
paper,papers,p
date,dates,d
decision,decisions,d
figure,figures,f
right,rights,r
wife,wives,w
president,presidents,p
university,universities,u
friend,friends,f
club,clubs,c
quality,qualities,q
voice,voices,v
lord,lords,l
stage,stages,s
king,kings,k
situation,situations,s
light,lights,l
tax,taxes,t
production,productions,p
march,marches,m
secretary,secretaries,s
art,arts,a
board,boards,b
hospital,hospitals,h
month,months,m
music,musics,m
cost,costs,c
field,fields,f
award,awards,a
issue,issues,i
bed,beds,b
project,projects,p
chapter,chapters,c
girl,girls,g
game,games,g
amount,amounts,a
basis,bases,b
knowledge,knowledges,k
approach,approaches,a
series,series,s
love,loves,l
top,tops,t
news,newss,n
front,fronts,f
future,futures,f
manager,managers,m
account,accounts,a
computer,computers,c
security,securities,s
rest,rests,r
labour,labours,l
structure,structures,s
hair,hairs,h
bill,bills,b
heart,hearts,h
force,forces,f
attention,attentions,a
movement,movements,m
success,successes,s
letter,letters,l
agreement,agreements,a
capital,capitals,c
analysis,analyses,a
population,populations,p
environment,environments,e
performance,performances,p
model,models,m
material,materials,m
theory,theories,t
growth,growths,g
fire,fires,f
chance,chances,c
boy,boys,b
relationship,relationships,r
son,sons,s
sea,seas,s
record,records,r
size,sizes,s
property,properties,p
space,spaces,s
term,terms,t
director,directors,d
plan,plans,p
behaviour,behaviours,b
treatment,treatments,t
energy,energies,e
income,incomes,i
cup,cups,c
scheme,schemes,s
design,designs,d
response,responses,r
association,associations,a
choice,choices,c
pressure,pressures,p
hall,halls,h
couple,couples,c
technology,technologies,t
defence,defences,d
list,lists,l
chairman,chairmen,c
loss,losses,l
activity,activities,a
contract,contracts,c
county,counties,c
wall,walls,w
difference,differences,d
army,armies,a
hotel,hotels,h
sun,suns,s
product,products,p
summer,summers,s
set,sets,s
village,villages,v
colour,colours,c
floor,floors,f
season,seasons,s
unit,units,u
park,parks,p
hour,hours,h
investment,investments,i
test,tests,t
garden,gardens,g
husband,husbands,h
employment,employments,e
style,styles,s
science,sciences,s
look,looks,l
deal,deals,d
charge,charges,c
help,helps,h
economy,economies,e
new,news,n
page,pages,p
risk,risks,r
advice,advices,a
event,events,e
picture,pictures,p
commission,commissions,c
fish,fish,f
college,colleges,c
oil,oils,o
doctor,doctors,d
opportunity,opportunities,o
film,films,f
conference,conferences,c
operation,operations,o
application,applications,a
press,presses,p
extent,extents,e
addition,additions,a
station,stations,s
window,windows,w
shop,shops,s
access,accesses,a
region,regions,r
doubt,doubts,d
majority,majorities,m
degree,degrees,d
television,televisions,t
blood,bloods,b
statement,statements,s
sound,sounds,s
election,elections,e
parliament,parliaments,p
site,sites,s
mark,marks,m
importance,importances,i
title,titles,t
species,species,s
increase,increases,i
return,returns,r
concern,concerns,c
public,publics,p
competition,competitions,c
software,softwares,s
glass,glasses,g
lady,ladies,l
answer,answers,a
earth,earths,e
daughter,daughters,d
purpose,purposes,p
responsibility,responsibilities,r
leader,leaders,l
river,rivers,r
eye,eyes,e
ability,abilities,a
appeal,appeals,a
opposition,oppositions,o
campaign,campaigns,c
respect,respects,r
task,tasks,t
instance,instances,i
sale,sales,s
whole,wholes,w
officer,officers,o
method,methods,m
division,divisions,d
source,sources,s
piece,pieces,p
pattern,patterns,p
lack,lacks,l
disease,diseases,d
equipment,equipments,e
surface,surfaces,s
oxford,oxfords,o
demand,demands,d
post,posts,p
mouth,mouths,m
radio,radios,r
provision,provisions,p
attempt,attempts,a
sector,sectors,s
firm,firms,f
status,statuses,s
peace,peaces,p
variety,varieties,v
teacher,teachers,t
show,shows,s
speaker,speakers,s
baby,babies,b
arm,arms,a
base,bases,b
miss,misses,m
safety,safeties,s
trouble,troubles,t
culture,cultures,c
direction,directions,d
context,contexts,c
character,characters,c
box,boxes,b
discussion,discussions,d
past,pasts,p
weight,weights,w
organisation,organisations,o
start,starts,s
brother,brothers,b
league,leagues,l
condition,conditions,c
machine,machines,m
argument,arguments,a
sex,sexes,s
budget,budgets,b
english,englishs,e
transport,transports,t
share,shares,s
mum,mums,m
cash,cashes,c
principle,principles,p
exchange,exchanges,e
aid,aids,a
library,libraries,l
version,versions,v
rule,rules,r
tea,teas,t
balance,balances,b
afternoon,afternoons,a
reference,references,r
protection,protections,p
truth,truths,t
district,districts,d
turn,turns,t
smith,smiths,s
review,reviews,r
minute,minutes,m
duty,duties,d
survey,surveys,s
presence,presences,p
influence,influences,i
