Word,3singular,Present Participle,Simple Past,Past Participle,Initial
do,does,doing,did,done,d
know,knows,knowing,knew,known,k
see,sees,seeing,saw,seen,s
get,gets,getting,got,got,g
think,thinks,thinking,thought,thought,t
go,goes,going,went,gone,g
make,makes,making,made,made,m
take,takes,taking,took,taken,t
come,comes,coming,came,come,c
say,says,saying,said,said,s
put,puts,putting,put,put,p
want,wants,wanting,wanted,wanted,w
give,gives,giving,gave,given,g
look,looks,looking,looked,looked,l
find,finds,finding,found,found,f
need,needs,needing,needed,needed,n
like,likes,liking,liked,liked,l
set,sets,setting,set,set,s
use,uses,using,used,used,u
become,becomes,becoming,became,become,b
tell,tells,telling,told,told,t
keep,keeps,keeping,kept,kept,k
help,helps,helping,helped,helped,h
work,works,working,worked,worked,w
let,lets,letting,let,let,l
feel,feels,feeling,felt,felt,f
provide,provides,providing,provided,provided,p
believe,believes,believing,believed,believed,b
try,tries,trying,tried,tried,t
ask,asks,asking,asked,asked,a
remember,remembers,remembering,remembered,remembered,r
leave,leaves,leaving,left,left,l
show,shows,showing,showed,shown,s
pay,pays,paying,paid,paid,p
run,runs,running,ran,run,r
read,reads,reading,read,read,r
seem,seems,seeming,seemed,seemed,s
include,includes,including,included,included,i
bring,brings,bringing,brought,brought,b
understand,understands,understanding,understood,understood,u
start,starts,starting,started,started,s
play,plays,playing,played,played,p
cut,cuts,cutting,cut,cut,c
live,lives,living,lived,lived,l
meet,meets,meeting,met,met,m
move,moves,moving,moved,moved,m
hear,hears,hearing,heard,heard,h
call,calls,calling,called,called,c
stop,stops,stopping,stopped,stopped,s
turn,turns,turning,turned,turned,t
talk,talks,talking,talked,talked,t
buy,buys,buying,bought,bought,b
thank,thanks,thanking,thanked,thanked,t
change,changes,changing,changed,changed,c
continue,continues,continuing,continued,continued,c
consider,considers,considering,considered,considered,c
allow,allows,allowing,allowed,allowed,a
hope,hopes,hoping,hoped,hoped,h
produce,produces,producing,produced,produced,p
stay,stays,staying,stayed,stayed,s
appear,appears,appearing,appeared,appeared,a
write,writes,writing,wrote,written,w
hold,holds,holding,held,held,h
expect,expects,expecting,expected,expected,e
ensure,ensures,ensuring,ensured,ensured,e
suppose,supposes,supposing,supposed,supposed,s
wish,wishes,wishing,wished,wished,w
carry,carries,carrying,carried,carried,c
follow,follows,following,followed,followed,f
offer,offers,offering,offered,offered,o
support,supports,supporting,supported,supported,s
accept,accepts,accepting,accepted,accepted,a
speak,speaks,speaking,spoke,spoken,s
lead,leads,leading,leaded,leaded,l
remain,remains,remaining,remained,remained,r
stand,stands,standing,stood,stood,s
suggest,suggests,suggesting,suggested,suggested,s
hit,hits,hitting,hit,hit,h
develop,develops,developing,developed,developed,d
happen,happens,happening,happened,happened,h
sit,sits,sitting,sat,sat,s
win,wins,winning,won,won,w
love,loves,loving,loved,loved,l
add,adds,adding,added,added,a
learn,learns,learning,learned,learned,l
create,creates,creating,created,created,c
agree,agrees,agreeing,agreed,agreed,a
apply,applies,applying,applied,applied,a
wait,waits,waiting,waited,waited,w
avoid,avoids,avoiding,avoided,avoided,a
send,sends,sending,sent,sent,s
form,forms,forming,formed,formed,f
explain,explains,explaining,explained,explained,e
return,returns,returning,returned,returned,r
sell,sells,selling,sold,sold,s
receive,receives,receiving,received,received,r
open,opens,opening,opened,opened,o
begin,begins,beginning,began,begun,b
eat,eats,eating,ate,eaten,e
increase,increases,increasing,increased,increased,i
voice,voices,voicing,voiced,voiced,v
spend,spends,spending,spent,spent,s
join,joins,joining,joined,joined,j
reduce,reduces,reducing,reduced,reduced,r
save,saves,saving,saved,saved,s
require,requires,requiring,required,required,r
fall,falls,falling,fell,fallen,f
mind,minds,minding,minded,minded,m
build,builds,building,built,built,b
achieve,achieves,achieving,achieved,achieved,a
choose,chooses,choosing,chose,chosen,c
prevent,prevents,preventing,prevented,prevented,p
reach,reaches,reaching,reached,reached,r
decide,decides,deciding,decided,decided,d
deal,deals,dealing,dealt,dealt,d
face,faces,facing,faced,faced,f
enjoy,enjoys,enjoying,enjoyed,enjoyed,e
watch,watches,watching,watched,watched,w
lose,loses,losing,lost,lost,l
walk,walks,walking,walked,walked,w
cover,covers,covering,covered,covered,c
improve,improves,improving,improved,improved,i
tend,tends,tending,tended,tended,t
raise,raises,raising,raised,raised,r
draw,draws,drawing,drew,drawn,d
forget,forgets,forgetting,forgot,forgotten,f
imagine,imagines,imagining,imagined,imagined,i
act,acts,acting,acted,acted,a
pick,picks,picking,picked,picked,p
cause,causes,causing,caused,caused,c
cost,costs,costing,cost,cost,c
pass,passes,passing,passed,passed,p
break,breaks,breaking,broke,broken,b
prove,proves,proving,proved,proved,p
occur,occurs,occurring,occurred,occurred,o
discuss,discusses,discussing,discussed,discussed,d
listen,listens,listening,listened,listened,l
maintain,maintains,maintaining,maintained,maintained,m
