All the intelligent work was done by Cavor.	Cavor did All the intelligent work . 
 Oddly enough, it was made at last by accident, when Mr. Cavor least expected it.	  Oddly enough , accident , made at last it when Mr. Cavor least expected it . 
These can easily be worked by springs, and released and checked by electricity conveyed by platinum wires fused through the glass.	springs easily can work These , and released and checked by electricity conveyed by platinum wires fused through the glass . 
But now its line was marked by strange reddish shapes, tongues of vermilion flame that writhed and danced.	But now strange reddish shapes , tongues of vermilion flame that writhed and danced marked its line . 
 As he stepped forward he was refracted grotesquely by the edge of the glass.	  As he stepped forward the edge of the glass refracted grotesquely him . 
 We were bitten by a spirit of enterprise.	  a spirit of enterprise bit us . 
Its dull resonance was muffled by distance, thick with the quality of intervening substance.	distance muffled Its dull resonance , thick with the quality of intervening substance . 
 Presently we were arrested again by the proximity of a Selenite, and this time we were able to observe him more exactly.	  Presently the proximity of a Selenite arrested again us , and this time we were able to observe him more exactly . 
I was haunted by the memory of a sixteen gallon cask that had swaggered in my Lympne cellar.	the memory of a sixteen gallon cask that had swaggered in my Lympne cellar haunted me . 
 I was answered by a groan.	  a groan answered me . 
Our attention was taken up by the movements and attitudes of the Selenites immediately about us, and by the necessity of controlling our motion, lest we should startle and alarm them and ourselves by some excessive stride.	the movements and attitudes of the Selenites took up Our attention immediately about we , and by the necessity of controlling our motion , lest we should startle and alarm them and ourselves by some excessive stride . 
As we ran along it our way was lit by the irradiation of Cavor’s legs.	As we ran along it the irradiation of Cavor ’s legs lit our way . 
The whole place was lit by three transverse streams of the blue fluid.	three transverse streams of the blue fluid lit The whole place . 
I was oppressed by the idea that the Selenites would presently close their lids and valves, and shut us out under the inexorable onrush of the lunar night.	the idea that the Selenites would presently close their lids and valves oppressed me , and shut us out under the inexorable onrush of the lunar night . 
I was haunted by a vision of our freezing to death, of our hammering with our last strength on the valve of the great pit.	a vision of our freezing to death , of our hammering with our last strength on the valve of the great pit haunted me . 
The heater had made the sphere tolerably warm, the air had been refreshed by the oxygen, and except for that faint congestion of the head that was always with me while I was away from earth, I felt entire physical comfort.	The heater had made the sphere tolerably warm , the oxygen had refreshed the air , and except for that faint congestion of the head that was always with I while I was away from earth , I felt entire physical comfort . 
I was struck by a thought.	a thought struck me . 
I am told by astronomers and physicists that all he tells is in absolute accordance with what was already known of the moon’s condition.	astronomers and physicists tell me that all he tells is in absolute accordance with what was already known of the moon ’s condition . 
The unlimited development of the minds of the intellectual class is rendered possible by the absence of any bony skull in the lunar anatomy, that strange box of bone that clamps about the developing brain of man, imperiously insisting ‘thus far and no farther’ to all his possibilities.	the absence of any bony skull in the lunar anatomy renders possible The unlimited development of the minds of the intellectual class that strange box of bone that clamps about the developing brain of man , imperiously insisting ‘ thus far and no farther ’ to all his possibilities , . 
Usually they are led about by little watchers and attendants, and often there are small and active-looking creatures, small females usually, that I am inclined to think are a sort of wife to them; but some of the profounder scholars are altogether too great for locomotion, and are carried from place to place in a sort of sedan tub, wabbling jellies of knowledge that enlist my respectful astonishment.	Usually little watchers and attendants lead about them , and often there are small and active - looking creatures , small females usually , that I am inclined to think are a sort of wife to they ; but some of the profounder scholars are altogether too great for locomotion , and are carried from place to place in a sort of sedan tub , wabbling jellies of knowledge that enlist my respectful astonishment . 
Fine work is done by fined-down workers, amazingly dwarfed and neat.	fined - down workers , amazingly dwarfed and neat do Fine work . 
The extended ‘hand’ in this highly developed system of technical education is stimulated by irritants and nourished by injection, while the rest of the body is starved.	irritants stimulate The extended ‘ hand ’ in this highly developed system of technical education and nourished by injection , while the rest of the body is starved . 
The way was lined by ushers and officers in caparisons that gleamed like steel, and beyond their line, so far as my eyes could pierce the gloom, the heads of that enormous crowd extended.	ushers and officers lined The way in caparisons that gleamed like steel , and beyond their line , so far as my eyes could pierce the gloom , the heads of that enormous crowd extended . 
This effect of progressive size was enhanced by a thin haze of faintly phosphorescent blue incense that thickened as one advanced, and robbed even the nearer figures of clearness.	a thin haze of faintly phosphorescent blue incense that thickened as one advanced enhanced This effect of progressive size , and robbed even the nearer figures of clearness . 
His imagination was assisted by the fact that the lunar atmosphere in the outer galleries of the night side is not infrequently very foggy.	the fact that the lunar atmosphere in the outer galleries of the night side is not infrequently very foggy assisted His imagination . 
To him and his attendant Selenites it seemed, no doubt, the most whimsical thing in the world that men should build houses when they might descend into excavations, and an additional complication was introduced by the attempt I made to explain that men had originally begun their homes in caves, and that they were now taking their railways and many establishments beneath the surface.	To he and his attendant Selenites it seemed , no doubt , the most whimsical thing in the world that men should build houses when they might descend into excavations , and the attempt I made to explain that men had originally begun their homes in caves , and that they were now taking their railways and many establishments beneath the surface introduced an additional complication . 
 “The Grand Lunar was greatly impressed by the folly of men in clinging to the inconvenience of diverse tongues.	  “ the folly of men greatly impressed The Grand Lunar in clinging to the inconvenience of diverse tongues . 
 I never was so immensely tickled by anything I have ever said before.	  anything I have ever said before never so immensely tickled me . 
 Fortunately, further argument on the subject was stopped by a voice saying, “May I come in?”	  Fortunately , a voice saying , “ May I come in stopped further argument on the subject ? ” 
 At the office I was sent for by Mr. Perkupp, who said he was very sorry, but I should have to take my annual holidays from next Saturday.	  At the office Mr. Perkupp , who said he was very sorry sent for me , but I should have to take my annual holidays from next Saturday . 
 However, the matter was settled by Carrie saying she could not find any visiting cards, and we must get some more printed, and when they were finished would be quite time enough to discuss the etiquette of calling.	  However , Carrie settled the matter saying she could not find any visiting cards , and we must get some more printed , and when them were finished would be quite time enough to discuss the etiquette of calling . 
Such struggles were generally occasioned by want of means, and often helped to make loving couples stand together all the firmer.	want of means generally occasioned Such struggles , and often helped to make loving couples stand together all the firmer . 
 The conversation was almost entirely monopolised by the young fellow Fosselton, who not only looked rather like Mr. Irving, but seemed to imagine that he _was_ the celebrated actor.	  the young fellow Fosselton , who not only looked rather like Mr. Irving , almost entirely monopolised The conversation but seemed to imagine that he _ was _ the celebrated actor . 
 He had been introduced by a friend, and as he (Padge) had “stood” a good dinner, Gowing wished to show him some little return.	  a friend had introduced him , and as he ( Padge ) had “ stood ” a good dinner , Gowing wished to show him some little return . 
 As I expected, I was sent for by Mr. Perkupp, and the following conversation ensued as nearly as I can remember it.	  As I expected , Mr. Perkupp sent for me , and the following conversation ensued as nearly as I can remember it . 
 ‘Long’ Cummings’ health was proposed by our popular Vice, Mr. Westropp, the prince of bicyclists, who in his happiest vein said it was a case of ‘_Cumming_(s) thro’ the _Rye_, but fortunately there was more _wheel_ than _woe_,’ a joke which created roars of laughter.”	our popular Vice , Mr. Westropp , the prince of bicyclists , who in his happiest vein said it was a case of ‘ _ Cumming_(s ) thro ’ the _ Rye _ , proposed   ‘ Long ’ Cummings ’ health but fortunately there was more _ wheel _ than _ woe _ , ’ a joke which created roars of laughter . ” 
In fact, large parts of Australia are governed more by “dry” versus “wet” than by Spring-Summer-Fall-Winter.	In fact , “ dry ” versus “ wet ” than by Spring - Summer - Fall - Winter governs more large parts of Australia . 
