In cases of dispute the matter shall be resolved by the judgement of the twenty-five barons referred to below in the clause for securing the peace.	In cases of dispute the judgement of the twenty - five barons referred to below in the clause for securing the peace shall resolve the matter .
A dispute on this point shall be determined in the Marches by the judgement of equals.	the judgement of equals shall determine in the Marches A dispute on this point .
This matter shall be resolved by the judgement of his equals in our court.	the judgement of his equals in our court shall resolve This matter .
If any freeman shall die intestate, his chattels shall be distributed by the hands of his nearest kinsfolk and friends, under supervision of the church, saving to every one the debts which the deceased owed to him.	If any freeman shall die intestate , the hands of his nearest kinsfolk and friends shall distribute his chattels , under supervision of the church , saving to every one the debts which the deceased owed to he .
If any freeman shall die intestate, his chattels shall be distributed by the hands of his nearest kinsfolk and friends, under supervision of the Church, saving to every one the debts which the deceased owed to him.	If any freeman shall die intestate , the hands of his nearest kinsfolk and friends shall distribute his chattels , under supervision of the Church , saving to every one the debts which the deceased owed to he .
 The changes that have taken place in the glacial conditions of the Sierra from the time of greatest extension is well illustrated by the series of glaciers of every size and form extending along the mountains of the coast to Alaska.	  the series of glaciers of every size and form extending along the mountains of the coast to Alaska well illustrate The changes that have taken place in the glacial conditions of the Sierra from the time of greatest extension .
The upper branches of nearly all the main cañons and fiords are occupied by glaciers, which gradually increase in size, and descend lower until the high region between Mount Fairweather and Mount St. Elias is reached, where a considerable number discharge into the waters of the ocean.	glaciers , which gradually increase in size , and descend lower until the high region between Mount Fairweather and Mount St. Elias is reached , where a considerable number discharge into the waters of the ocean occupy The upper branches of nearly all the main cañons and fiords .
The fiord is called by the natives “Hutli,” or Thunder Bay, from the noise made by the discharge of the icebergs.	the natives “ Hutli , ” or Thunder Bay , call The fiord from the noise made by the discharge of the icebergs .
That the domain of the sea is being extended over the land by the wearing away of its shores, is well known, but in these icy regions of Alaska, and even as far south as Vancouver Island, the coast rocks have been so short a time exposed to wave-action they are but little wasted as yet.	That the wearing away of its shores is extending over the land the domain of the sea , is well known , but in these icy regions of Alaska , and even as far south as Vancouver Island , the coast rocks have been so short a time exposed to wave - action they are but little wasted as yet .
The surface of the glacier was further characterized by dirt bands and the outcropping edges of the blue veins, showing the laminated structure of the ice.	dirt bands and the outcropping edges of the blue veins further characterized The surface of the glacier , showing the laminated structure of the ice .
I was awakened in the morning by the rocking of my cabin and the beating of pine-burs on the roof.	the rocking of my cabin and the beating of pine - burs on the roof awakened in the morning me .
No perfect banner is ever hung on the Sierra peaks by a south wind.	a south wind ever hangs on the Sierra peaks No perfect banner .
They naturally were affected most of all by the colors—the intense azure of the sky, the purplish grays of the granite, the red and browns of dry meadows, and the translucent purple and crimson of huckleberry bogs; the flaming yellow of aspen groves, the silvery flashing of the streams, and the bright green and blue of the glacier lakes.	the colors — the intense azure of the sky , the purplish grays of the granite , the red and browns of dry meadows , and the translucent purple and crimson of huckleberry bogs naturally affected most of all them ; the flaming yellow of aspen groves , the silvery flashing of the streams , and the bright green and blue of the glacier lakes .
 Looking southward along the axis of the range, the eye is first caught by a row of exceedingly sharp and slender spires, which rise openly to a height of about a thousand feet, above a series of short, residual glaciers that lean back against their bases; their fantastic sculpture and the unrelieved sharpness with which they spring out of the ice rendering them peculiarly wild and striking.	  Looking southward along the axis of the range , a row of exceedingly sharp and slender spires , which rise openly to a height of about a thousand feet , first catches the eye their fantastic sculpture and the unrelieved sharpness with which they spring out of the ice rendering them peculiarly wild and striking above a series of short , residual glaciers that lean back against their bases ; .
But, generally, when looking for the first time from an all-embracing standpoint like this, the inexperienced observer is oppressed by the incomprehensible grandeur, variety, and abundance of the mountains rising shoulder to shoulder beyond the reach of vision; and it is only after they have been studied one by one, long and lovingly, that their far-reaching harmonies become manifest.	But , generally , when looking for the first time from an all - embracing standpoint like this , the incomprehensible grandeur , variety , and abundance of the mountains oppresses the inexperienced observer rising shoulder to shoulder beyond the reach of vision ; and it is only after them have been studied one by one , long and lovingly , that their far - reaching harmonies become manifest .
A trail was made through it about the time of the Mono gold excitement, in the year 1858, by adventurous miners and prospectors—men who would build a trail down the throat of darkest Erebus on the way to gold.	adventurous miners and prospectors — men who would build a trail down the throat of darkest Erebus on the way to gold made through it about the time of the Mono gold excitement , in the year 1858 , A trail .
They are always accompanied by the men, who stride on, unburdened and erect, a little in advance, kindly stooping at difficult places to pile stepping-stones for their patient, pack-animal wives, just as they would prepare the way for their ponies.	the men , who stride on , unburdened and erect , a little in advance always accompany them , kindly stooping at difficult places to pile stepping - stones for their patient , pack - animal wives , just as they would prepare the way for their ponies .
Without exception every pass in the Sierra was created by them without the slightest aid or predetermining guidance from any of the cataclysmic agents.	Without exception they created every pass in the Sierra without the slightest aid or predetermining guidance from any of the cataclysmic agents .
 The main portion of the Mono Pass is formed by Bloody Cañon, which begins at the summit of the range, and runs in a general east-northeasterly direction to the edge of the Mono Plain.	  Bloody Cañon , which begins at the summit of the range forms The main portion of the Mono Pass , and runs in a general east - northeasterly direction to the edge of the Mono Plain .
 The effect of this expressive outspokenness on the part of the cañon-rocks is greatly enhanced by the quiet aspect of the alpine meadows through which we pass just before entering the narrow gateway.	  the quiet aspect of the alpine meadows through which we pass just before entering the narrow gateway greatly enhances The effect of this expressive outspokenness on the part of the cañon - rocks .
Here it is succeeded by the hardy Two-leaved Pine, which is speedily joined by the taller Yellow and Mountain Pines.	Here the hardy Two - leaved Pine , which is speedily joined by the taller Yellow and Mountain Pines succeeds it .
 Bloody Cañon, like every other in the Sierra, was recently occupied by a glacier, which derived its fountain snows from the adjacent summits, and descended into Mono Lake, at a time when its waters stood at a much higher level than now.	a glacier , which derived its fountain snows from the adjacent summits recently occupied   Bloody Cañon , like every other in the Sierra , , and descended into Mono Lake , at a time when its waters stood at a much higher level than now .
 A few small lakes unfortunately situated are extinguished suddenly by a single swoop of an avalanche, carrying down immense numbers of trees, together with the soil they were growing upon.	  a single swoop of an avalanche extinguishes suddenly A few small lakes unfortunately situated , carrying down immense numbers of trees , together with the soil they were growing upon .
Others are obliterated by land-slips, earthquake taluses, etc., but these lake-deaths compared with those resulting from the deliberate and incessant deposition of sediments, may be termed accidental.	land - slips , earthquake taluses , etc . obliterate Others , but these lake - deaths compared with those resulting from the deliberate and incessant deposition of sediments , may be termed accidental .
Its crystal waters are clasped around on the north and south by majestic granite walls sculptured in true Yosemitic style into domes, gables, and battlemented headlands, which on the south come plunging down sheer into deep water, from a height of from 1500 to 2000 feet.	majestic granite walls sculptured in true Yosemitic style into domes , gables , and battlemented headlands , clasp around on the north and south Its crystal waters which on the south come plunging down sheer into deep water , from a height of from 1500 to 2000 feet .
But the deep mountain silence is sweetened now and then by birds that stop here to rest and drink on their way across the cañon.	But then birds that stop here to rest and drink on their way across the cañon sweeten now and the deep mountain silence .
Kalmia, lodum, and cassiope fringe the meadow rocks, while the luxuriant, waving groves, so characteristic of the lower lakes, are represented only by clumps of the Dwarf Pine and Hemlock Spruce.	only clumps of the Dwarf Pine and Hemlock Spruce represent Kalmia , lodum , and cassiope fringe the meadow rocks , while the luxuriant , waving groves , so characteristic of the lower lakes , .
Where the soil happens to be composed of the finer qualities of glacial detritus and the water is not in excess, the nearest approach is made by the vegetation to that of the lake-meadow.	Where the soil happens to be composed of the finer qualities of glacial detritus and the water is not in excess , the vegetation makes the nearest approach to that of the lake - meadow .
Unfortunately it is greatly prized by the lumbermen, and in accessible places is always the first tree in the woods to feel their steel.	Unfortunately the lumbermen greatly prize it , and in accessible places is always the first tree in the woods to feel their steel .
Whether exposed to extremes of heat or cold, it is dwarfed like every other tree, and becomes all knots and angles, wholly unlike the majestic forms we have been sketching.	Whether exposed to extremes of heat or cold , every other tree dwarfs it , and becomes all knots and angles , wholly unlike the majestic forms we have been sketching .
The tall lilies are brought forward in all their glory by the light of your blazing camp-fire, relieved against the outer darkness, and the nearest of the trees with their whorled branches tower above you like larger lilies, and the sky seen through the garden opening seems one vast meadow of white lily stars.	the light of your blazing camp - fire , relieved against the outer darkness brings forward in all their glory The tall lilies , and the nearest of the trees with their whorled branches tower above you like larger lilies , and the sky seen through the garden opening seems one vast meadow of white lily stars .
The fruitfulness of Sequoia may be illustrated by two specimen branches one and a half and two inches in diameter on which I counted 480 cones.	two specimen branches one and a half and two inches in diameter on which I counted 480 cones may illustrate The fruitfulness of Sequoia .
Millions are ripened annually by a single tree, and in a fruitful year the product of one of the northern groves would be enough to plant all the mountain-ranges of the world.	a single tree ripens annually Millions , and in a fruitful year the product of one of the northern groves would be enough to plant all the mountain - ranges of the world .
Much of this ditch-writing would no doubt be quickly effaced by the flood-action of overflowing streams and rain-washing; but no inconsiderable portion would remain enduringly engraved on ridge-tops beyond such destructive action; for, where all the conditions are favorable, it is almost imperishable.	the flood - action of overflowing streams and rain - washing no doubt quickly would efface Much of this ditch - writing ; but no inconsiderable portion would remain enduringly engraved on ridge - tops beyond such destructive action ; for , where all the conditions are favorable , it is almost imperishable .
Evaporation is also checked by the dense foliage to a greater extent than by any other Sierra tree, and the air is entangled in masses and broad sheets that are quickly saturated; while thirsty winds are not allowed to go sponging and licking along the ground.	the dense foliage also checks Evaporation to a greater extent than by any other Sierra tree , and the air is entangled in masses and broad sheets that are quickly saturated ; while thirsty winds are not allowed to go sponging and licking along the ground .
