passive_sentence,active_sentence,passive_x_coord,passive_y_coord,active_x_coord,active_y_coord
In cases of dispute the matter shall be resolved by the judgement of the twenty-five barons referred to below in the clause for securing the peace.,In cases of dispute the judgement of the twenty - five barons referred to below in the clause for securing the peace shall resolve the matter.,-0.006234239335359885,0.10102116898009363,-0.007181883609813014,0.06753926263936325
A dispute on this point shall be determined in the Marches by the judgement of equals.,The judgement of equals shall determine in the Marches a dispute on this point.,-0.005562748340387529,0.05797118356211836,-0.004229598387370481,-0.011084891821977368
This matter shall be resolved by the judgement of his equals in our court.,The judgement of his equals shall resolve this matter in our court.,-0.004213245372437909,0.08699167829761421,-0.006757470731915966,0.058671561208321975
"If any Freeman shall die Intestate, his chattels shall be distributed by the hands of his nearest Kinsfolk and friends, under supervision of the church, saving to every one the debts which the deceased owed to him.","If any Freeman shall die Intestate, the hands of his nearest Kinsfolk and friends shall distribute his chattels, under supervision of the church, saving to every one the debts which the deceased owed to him.",-0.005786434563153262,0.06325925492474252,-0.006632829460433243,0.04344466503782697
"All evil customs connected with forests and Warrens, Foresters and Warreners, sheriffs and their officers, River-Banks and their wardens, shall immediately be inquired into in each county by twelve sworn Knights of the same County chosen by the honest men of the same County, and shall, within forty days of the said inquest, be utterly abolished, so as never to be restored, provided always that we previously have Intimation thereof, or our Justiciar, if we should not be in England.","Twelve sworn Knights of the same County chosen by the honest men of the same County, immediately shall inquire into in each county all evil customs connected with forests and Warrens, Foresters and Warreners, sheriffs and their officers, River - banks and their wardens, and shall, within forty days of the said inquest, be utterly abolished, so as never to be restored, provided always that we previously have Intimation thereof, or our Justiciar, if we should not be in England.",-0.004272930587608751,-0.013694365323585951,-0.0059129362814337744,0.0025799172501511387
"Moreover, all these aforesaid customs and liberties, the observance of which we have granted in our Kingdom as far as pertains to us toward our men, shall be observed by all of our Kingdom, as well clergy as laymen, as far as pertains to them toward their men.","Moreover, all of our Kingdom, as well clergy as laymen,, the observance of which we have granted in our Kingdom as far as pertains to us toward our men, shall observe all these aforesaid customs and liberties as far as pertains to them toward their men.",-0.006789695688547796,0.06599708308541635,-0.00796776670275202,0.04060754536623589
"If any Freeman shall die Intestate, his chattels shall be distributed by the hands of his nearest Kinsfolk and friends, under supervision of the church, saving to every one the debts which the deceased owed to him.","If any Freeman shall die Intestate, the hands of his nearest Kinsfolk and friends shall distribute his chattels, under supervision of the church, saving to every one the debts which the deceased owed to him.",-0.005786434563153262,0.06325925492474252,-0.006632829460433243,0.04344466503782697
"The inner story must be uncovered, personally, by each reader, according to ability and desire.","Each reader must uncover, personally, the inner story, according to ability and desire.",-0.004798386362250828,0.08502109153537127,-0.01013140654746127,0.15251182318576395
"Beneath me, the spot that I had just left, was occupied by the foul Swine-Creature.","Beneath me, the foul swine - creature, occupied the spot that I had just left.",0.0003823873291362934,-0.0025097914011708976,-0.003766092652169743,0.021378644078535628
"I was answered by a joyful bark, and renewed and frantic caresses.","A joyful bark answered me, and renewed and frantic caresses.",-0.009070392539128955,0.10993201689458114,-0.01725849432983933,0.2024232594504881
It was answered by a similar NOTE from the bottom of the pit.,A similar NOTE answered it from the bottom of the pit.,0.007910303289268662,-0.041864737001490536,0.002563806493805233,0.030596444138522225
My attention was distracted by a noise in the direction of the back door.,A noise in the direction of the back door distracted my attention.,-0.007829828113370267,-0.032096972860125236,-0.012544361683148476,0.12384924711135502
"The second time, my shot was answered by a short squeal of pain.","The second time, a short squeal of pain answered my shot.",-0.007779801927717009,-0.04360389712704901,-0.011862298758037303,-0.0107417036640859
"The entrance to the place whence the Swine-Creatures had come, was sealed up, by a power that made me feel there was nothing more to fear from them.","A power that made me feel there was nothing more to fear from they, sealed up, the entrance to the place whence the swine - creatures had come.",0.0015395803373589828,-0.043116935569533055,-0.005448437677150128,0.05858813026610261
"Now, however, for a little space, the sky was hidden, by a sea of swaying, Leaden-White clouds, which lightened and blackened, alternately, with the passage of day and night.","Now, however, for a little space, a sea of swaying, leaden - white clouds, which lightened and blackened, alternately, with the passage of day and night hid, the sky.",0.005313535296082564,-0.06722120210299615,-0.0061573501636543486,0.149433870075944
"If it had Mouldered under me, surely, I should have been waked by the collapse.","If it had Mouldered under me, surely, the collapse should have waked me.",0.004014644446168841,-0.133326985531212,0.002404027700064373,-0.11320206429167719
"As I approach the Kennel, I am greeted by the same Mouldy stench that assailed me at the door last night.","As I approach the Kennel, the same Mouldy stench that assailed me at the door last night GREETS me.",-0.0056549812179222895,-0.055597395045813375,-0.006345972887643241,-0.0365029285337637
